protein,eta_squared,p_value,p_fdr
IKBKG,0.008940513822266577,0.32837163293912675,0.41248085821827146
MPIG6B,0.008890025905540524,0.33045246190827005,0.41364329147958273
GMPR,0.008692435580831416,0.3387225441726388,0.421378316774773
LTO1,0.008686222140871816,0.3389859084668565,0.421378316774773
TNFSF11,0.008280938770607052,0.3566103284030795,0.44071966785608485
VEGFA,0.00827203511256204,0.3570075521739235,0.44071966785608485
PCDH1,0.007971715023610638,0.3706660639716228,0.4560084223430961
BCR,0.007835837424468313,0.3770148636251899,0.4622305519788287
ICA1,0.007736626772501091,0.38171844139445255,0.4664000068915154
PRDX5,0.007564623104737642,0.3900114748239702,0.47491193192850795
CXCL1,0.007463565152910088,0.39496700143990776,0.4793158864931762
ADA,0.0072331639646317555,0.4064998106940003,0.4916450413123382
PLXNA4,0.007166830332804555,0.409881660774309,0.49321556792771964
NFATC1,0.0071537124358100656,0.41055374090072755,0.49321556792771964
FCAR,0.007067948808306071,0.41497475577215553,0.49622075654581205
TLR3,0.007051511637206586,0.41582744961939555,0.49622075654581205
TNFSF13,0.006859719535843587,0.425906223296668,0.5065595612631466
CCL23,0.006691406129300095,0.4349505854252341,0.5156036741133571
STX8,0.006531267598476453,0.44373243725919714,0.5242779291709326
PDLIM7,0.006347028222243662,0.45405371445863923,0.5347079926848448
TRIM21,0.00622749697024025,0.46087698276834693,0.5409638027248138
OSM,0.006139512590697961,0.46596433831432627,0.545147820642251
CLEC4D,0.006081043197924811,0.4693758727013315,0.5473503662119762
SCGB1A1,0.006006369164337782,0.4737689541835544,0.5506794986938718
TRIM5,0.005977805144964426,0.4754601416411507,0.5508567336813331
NTF3,0.005923516869577355,0.4786909058704399,0.5528107880697338
PIK3AP1,0.0056353406560883165,0.4962087331402538,0.5711984773768839
CCL17,0.005445109425073869,0.5081195520049933,0.5830346141595756
ADGRE2,0.005364063686959017,0.5132797609338007,0.5865400504073676
NME3,0.005345775750005767,0.5144513291282498,0.5865400504073676
MICB_MICA,0.0053172801375260485,0.5162821136993536,0.5867587196964082
ISM1,0.004899248495040475,0.5438945703980227,0.6161843550711776
HPCAL1,0.004777706725278864,0.5521942459626257,0.6236136910240379
MMP1,0.004600210198372841,0.5645410706683216,0.6355525260982992
IL2,0.004120717001194399,0.599281052310567,0.6725473878595079
LSP1,0.0037976338276510284,0.6238763855536127,0.6979617063381042
NCF2,0.0035304240192756873,0.6449727807811443,0.7193154377559179
