protein,lrt_chisq,lrt_df,p_value,p_fdr
TNFSF12,4.4305109198976425,2,0.10912563345866466,0.7760494874942448
EIF4G1,0.2695169589072748,2,0.8739269575173172,0.9779421326186479
BSG,2.8856049214302857,2,0.23626470746753392,0.822669382578568
DNAJA2,0.6858746286472979,2,0.7096826971057536,0.9294716053278546
CD244,4.366391097713404,2,0.11268087745578965,0.7760494874942448
KLRB1,10.715064370794835,2,0.004712521398618491,0.3230798306188107
SERPINB8,0.6382089647100884,2,0.7267996076044757,0.9294716053278546
CXCL8,4.986164978443298,2,0.08265479098688865,0.7760494874942448
KLRD1,3.1896928405359404,2,0.2029396935330753,0.7862023558020971
IL16,2.535871938849027,2,0.2814118654466328,0.8439922155429567
NFASC,3.9948789129473568,2,0.1356822591538809,0.7760494874942448
CD79B,4.541172055368776,2,0.10325165402214291,0.7760494874942448
CD22,1.331785886543372,2,0.5138145155866515,0.8614718688319216
LAMP3,9.266198703951062,2,0.009724572474105506,0.3230798306188107
FCRL2,9.050964338581991,2,0.010829491529122146,0.3230798306188107
LAT,1.6937679196862518,2,0.42874885123402584,0.8555327144056164
GMPR,0.1798872620305474,2,0.9139827040962699,0.9835764529340022
TPSAB1,4.915513185647029,2,0.08562683150205241,0.7760494874942448
PPP1R9B,0.5665697125762108,2,0.7533051735784986,0.9307852054633672
PRDX5,1.4618359045149418,2,0.48146682361975723,0.8614718688319216
ADA,1.8490078726116508,2,0.3967281727127289,0.8555327144056164
TNFRSF11A,7.700856610587806,2,0.021270624166164265,0.543920246534772
CD160,9.446456916704108,2,0.008886442677036166,0.3230798306188107
HCLS1,0.8739650997871422,2,0.6459827037792043,0.9202227663260678
CD6,11.849288265880034,2,0.0026727586627459774,0.3230798306188107
VEGFA,1.6590725654538119,2,0.4362515367974185,0.8555327144056164
ADAM23,6.820718410433109,2,0.03302933393572189,0.7123328219577728
IL18R1,1.1907794429061767,2,0.5513476519841862,0.869526252908981
TNFRSF4,3.685295870556601,2,0.15839744412946455,0.7760494874942448
C1QA,1.6297652267416298,2,0.44269129034975524,0.8555327144056164
CCL13,0.5231521968054267,2,0.7698372898071298,0.9307852054633672
MERTK,3.5884459140309275,2,0.16625659068474002,0.7760494874942448
AGRP,0.19554968221996205,2,0.9068530667984268,0.9835764529340022
CTSO,9.824164380308844,2,0.007357153379434226,0.3230798306188107
FLT3LG,2.8435470350440255,2,0.2412857127674571,0.822669382578568
VEGFD,2.036721126794262,2,0.36118659757669025,0.8555327144056164
GZMA,4.486619787016025,2,0.10610672057136701,0.7760494874942448
CLSTN2,1.0235315324654266,2,0.599436179597247,0.890732950059675
FASLG,8.472975672634448,2,0.014458282629001487,0.3981588600909641
IL12B,3.1410348065055302,2,0.20793756694562956,0.7862023558020971
CDSN,2.0676624784279056,2,0.3556417983036287,0.8555327144056164
CCL11,1.8991548919078696,2,0.38690447697028135,0.8555327144056164
KYNU,0.626331357420554,2,0.7311287700621216,0.9294716053278546
LY9,6.344217033623835,2,0.04191512591621905,0.7145530989526866
CCL20,0.25523021694050385,2,0.8801920924374541,0.9779421326186479
MMP1,1.8311205271076005,2,0.4002922940709245,0.8555327144056164
PGF,5.528064467668003,2,0.06303707498655162,0.7760494874942448
CCL25,0.6737893723397406,2,0.7139840283361352,0.9294716053278546
CXCL9,1.05616643034125,2,0.5897342807321139,0.890732950059675
SMPDL3A,2.606802700707476,2,0.27160639162275835,0.8439922155429567
EPHA1,1.9617515806853731,2,0.37498254890695654,0.8555327144056164
IFNGR1,0.31431686097221245,2,0.8545686583642327,0.9743171327846983
CTSC,0.7672799093258504,2,0.6813767095275713,0.9294716053278546
CD276,0.45578701223686835,2,0.796209046712654,0.9345666843381316
DBNL,1.117554166437344,2,0.5719080323016571,0.8787256461973959
PKLR,0.8378253297604488,2,0.6577616384508547,0.9263233276536772
NCK2,2.07739331613368,2,0.3539156546044838,0.8555327144056164
TIMP3,1.289947679127181,2,0.5246762676871949,0.8614718688319216
PLA2G4A,1.2799148116921515,2,0.5273148840960513,0.8614718688319216
CCL21,0.4789345924807549,2,0.7870470123173791,0.9309973302355605
MMP10,9.052442465034915,2,0.0108214908070556,0.3230798306188107
