protein,timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
PSPN,V1,43,43,0.6425635723052294,0.1888868581927792,-0.23478154080298577,0.6125552571885442,0.9974350922814665
PSPN,V3,41,42,0.1574397658075688,0.27825400562984853,-0.15418125947804828,0.7106892707377453,0.9531863394505088
PSPN,V5,41,41,0.03643757847704508,-0.44878462653254053,-0.8872260928788664,-0.010343160186214617,0.8036481866249354
ALDH3A1,V1,43,43,0.35722842085343337,-0.03852717990613668,-0.4612717975626693,0.3842174377503959,0.9974350922814665
ALDH3A1,V3,41,42,0.5897021890780707,0.020090442745688098,-0.4102278104776698,0.45040869596904604,0.962574441529572
ALDH3A1,V5,41,41,0.09152835637509706,-0.4059392895806164,-0.8433768860239181,0.031498306862685344,0.8238908000777784
SH2D1A,V1,43,43,0.6120647367990433,0.11882811940894077,-0.3042581009878545,0.541914339805736,0.9974350922814665
SH2D1A,V3,41,42,0.9747073320329979,0.008153029975975097,-0.4221559333619489,0.4384619933138991,0.9963861751691634
SH2D1A,V5,41,41,0.4945612244992096,-0.15625478849661212,-0.5898229371434929,0.2773133601502687,0.9715791351870459
FOXO1,V1,43,43,0.9794371007298435,-9.441547180445136e-4,-0.4236486497869186,0.4217603403508296,0.9974350922814665
FOXO1,V3,41,42,0.20502593631130386,-0.2086829627284366,-0.6401883744713787,0.2228224490145055,0.9531863394505088
FOXO1,V5,41,41,0.44348687132460457,-0.13744416132714307,-0.5708593115004895,0.29597098884620343,0.9715791351870459
VASH1,V1,43,43,0.5134698884297513,0.2100881071102235,-0.21380850307395718,0.6339847172944042,0.9974350922814665
VASH1,V3,41,42,0.06904705319943998,-0.2577967546386557,-0.6899312388273311,0.17433772955001975,0.9531863394505088
VASH1,V5,41,41,0.8391998710920148,0.19375436704039875,-0.24017705089646876,0.6276857849772662,0.9715791351870459
METAP1D,V1,43,43,0.6736706647614465,0.04184469580623324,-0.38090713306110185,0.4645965246735683,0.9974350922814665
METAP1D,V3,41,42,0.2083108128620338,-0.18081361898685316,-0.612020656400417,0.2503934184267107,0.9531863394505088
METAP1D,V5,41,41,0.2365857921541449,-0.1426780658785171,-0.576133824005125,0.29077769224809075,0.9501873333952184
HLA.DRA,V1,43,43,0.7965798675957276,0.18004970868750628,-0.24353069575285483,0.6036301131278674,0.9974350922814665
HLA.DRA,V3,41,42,0.553824723399639,0.17669289775353356,-0.25447362997271417,0.6078594254797813,0.962574441529572
HLA.DRA,V5,41,41,0.7678587197017994,-0.12999895885465654,-0.5633589529147816,0.30336103520546853,0.9715791351870459
TBC1D5,V1,43,43,0.27421273465030777,-0.11084195848181264,-0.5338786096795811,0.3121946927159558,0.9974350922814665
TBC1D5,V3,41,42,0.15212826128781382,-0.2085925374986266,-0.6400969124441314,0.22291183744687815,0.9531863394505088
TBC1D5,V5,41,41,0.5222308467346414,0.0158561967450559,-0.41704235779262616,0.44875475128273795,0.9715791351870459
EPO,V1,43,43,0.06581404529786931,0.37791529076279345,-0.04863469030155937,0.8044652718271463,0.9974350922814665
EPO,V3,41,42,0.25489431758335573,-0.30904761613716497,-0.7419784672736197,0.12388323499928977,0.9531863394505088
EPO,V5,41,41,0.2478100320882864,-0.33954083657928014,-0.7756178783321516,0.0965362051735913,0.9618175909306087
CCL7,V1,43,43,0.16516133884132486,0.44148270392646405,0.013538849359867766,0.8694265584930603,0.9974350922814665
CCL7,V3,41,42,0.7962527545635376,0.018971157197867607,-0.4113458913532688,0.4492882057490041,0.9746018750194912
CCL7,V5,41,41,0.7538005854797287,-0.14104169004772807,-0.5744845894921178,0.2924012093966616,0.9715791351870459
DAPP1,V1,43,43,0.7570576638489661,0.07225490494317344,-0.35059075413852436,0.49510056402487124,0.9974350922814665
DAPP1,V3,41,42,0.4014770929028118,-0.1781886423090954,-0.60936976676560906,0.2529924821474183,0.9562180802473277
DAPP1,V5,41,41,0.6313778512399456,0.14359029317826152,-0.2898726974772533,0.5770532838337763,0.9715791351870459
EDAR,V1,43,43,0.18732997370815185,0.3484252528710099,-0.07755020027992304,0.7744007060219429,0.9974350922814665
EDAR,V3,41,42,0.22530150443482774,-0.2891193991495506,-0.7217236599405685,0.14348486164146734,0.9531863394505088
EDAR,V5,41,41,0.8033266885023767,0.01571159048943276,-0.4171868374559425,0.448610018434808,0.9715791351870459
TRIM5,V1,43,43,0.8703241894392999,0.017638977881429478,-0.4050739085490718,0.4403518643119308,0.9974350922814665
TRIM5,V3,41,42,0.1574397658075688,-0.23195516241669709,-0.6637422558790794,0.19983193104568528,0.9531863394505088
TRIM5,V5,41,41,0.4545721182644967,-0.09393433406311981,-0.527070545902527,0.3392018777762874,0.9715791351870459
DPP10,V1,43,43,0.8696495633584516,-0.025527154114168744,-0.4482492501789835,0.39719494195064603,0.9974350922814665
DPP10,V3,41,42,0.5847242165572023,-0.16778730947355044,-0.5988694665343635,0.2632948475872626,0.962574441529572
DPP10,V5,41,41,0.05948990686557804,-0.40828569076114885,-0.8457757156188588,0.029204334096561146,0.8227468565955679
ITGA6,V1,43,43,0.224540535911085,0.38360740008574096,-0.04305875255509628,0.8102735527265782,0.9974350922814665
ITGA6,V3,41,42,0.21839139951683872,-0.36186673235952627,-0.7957670232677283,0.07203355854867582,0.9531863394505088
ITGA6,V5,41,41,0.9338465291873692,-0.026888996060481462,-0.4598006286323263,0.4060226365113634,0.9832854630855241
FCRL6,V1,43,43,0.42376430327733694,0.21010992794205388,-0.21378692955009784,0.6340067854342056,0.9974350922814665
FCRL6,V3,41,42,0.33385821380041214,0.20938877512192916,-0.22212474467991733,0.6409022949237757,0.9561699243243803
FCRL6,V5,41,41,0.5715855667996166,-0.11234109296846564,-0.5455825275802715,0.32090034164334014,0.9715791351870459
LSP1,V1,43,43,0.986290566110724,0.02853837235691211,-0.3941881270083886,0.4512648717222128,0.9974350922814665
LSP1,V3,41,42,0.13523862270834153,-0.30887415376080957,-0.7418020693514854,0.12405376182986627,0.9531863394505088
LSP1,V5,41,41,0.7749165358366652,-0.09465160151537837,-0.527791562447803,0.3384883594170463,0.9715791351870459
STX8,V1,43,43,0.938365324796312,0.10105431100723615,-0.3219262837813678,0.5240349057958401,0.9974350922814665
STX8,V3,41,42,0.29869346496934723,-0.2276556891011243,-0.659388516252539,0.2040771380502904,0.9531863394505088
STX8,V5,41,41,0.6780266416376619,-0.011403230644106914,-0.4442984189514097,0.42149195766319586,0.9715791351870459
HLA.E,V1,43,43,0.5881325612398198,-0.16033375522243282,-0.5837329772097897,0.26306546676492404,0.9974350922814665
HLA.E,V3,41,42,0.28616152635116593,-0.22253632851916372,-0.6542058565888893,0.20913319955056192,0.9531863394505088
HLA.E,V5,41,41,0.05112151722908316,-0.42807141788205016,-0.8660152929779221,0.00987245721382185,0.8227468565955679
