protein,follow_up_timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
SCGN,V5,41,41,0.002520295052459124,-0.6294354474192104,-1.0731781875516795,-0.18569270728674142,0.2817196226223935
CXCL14,V3,41,42,0.21839139951683872,-0.148887879250407,-0.5798053897065197,0.2820296312057057,0.8183649169894438
CXCL14,V5,41,41,0.5063189318722715,-0.02524504066983821,-0.45815429653557094,0.40766421519589446,0.9248070286238428
MVK,V3,41,42,0.7204214301842432,-0.07732014848165802,-0.50779197919484,0.353151682231524,0.9277369496617233
MVK,V5,41,41,0.8464168650825652,0.10834172606084612,-0.3248752514931918,0.541558703614884,0.9964165017853371
WNT9A,V3,41,42,0.9314208334018014,-0.05427351045397008,-0.4846617987411257,0.3761147778331856,0.9874488161592604
WNT9A,V5,41,41,0.8681420813663075,-0.1000581849388853,-0.5332273221550328,0.3331109522772622,0.9964165017853371
IL3RA,V3,41,42,0.2506979540509149,-0.2743984957175611,-0.7067753343978486,0.1579783429627264,0.8183649169894438
IL3RA,V5,41,41,0.26179368083389265,-0.24194453275540595,-0.6764564417856584,0.1925673762748465,0.7866725032597293
SIT1,V3,41,42,0.12757532844672814,-0.32114381992204877,-0.7542833917537309,0.1119957519096334,0.8183649169894438
SIT1,V5,41,41,0.4007042259344762,-0.24233081491184844,-0.6768478923276828,0.19218626250398596,0.8292029646505347
FXYD5,V3,41,42,0.22881387132033235,-0.3041518315976155,-0.7370004558385516,0.12869679264332057,0.8183649169894438
FXYD5,V5,41,41,0.19206531086481055,-0.2627921116594659,-0.6975946475340508,0.17201042421511892,0.7568244550013883
CXCL12,V3,41,42,0.12529828674921437,-0.4034070558804427,-0.8381751671123376,0.03136105535145228,0.8183649169894438
CXCL12,V5,41,41,0.5925088996377996,-0.18778497140088146,-0.621653374577226,0.2460834317754631,0.9512026281180819
NRTN,V3,41,42,0.9026664325927538,-0.18460542274801564,-0.6158505578946877,0.24663971239865637,0.9874488161592604
NRTN,V5,41,41,0.1434786816658607,-0.4320917329023028,-0.8701303925652328,0.005946926760627302,0.6856239268034848
DGKZ,V3,41,42,0.24324826428436572,-0.31169391769047877,-0.7446697547017931,0.1212819193208356,0.8183649169894438
DGKZ,V5,41,41,0.07488303588244347,-0.39113250054712156,-0.8282460818840223,0.04598108078977908,0.6321136273041945
PADI2,V3,41,42,0.12083832057793988,-0.27758636599642666,-0.7100114558953878,0.1548387239025345,0.8183649169894438
PADI2,V5,41,41,0.11098803598224154,-0.34213239357117414,-0.7782580661593681,0.09399327901701987,0.6622286146940412
PRKCQ,V3,41,42,0.6342391092504543,-0.20832655849534126,-0.639827886369633,0.22317476937895042,0.8699524946806998
PRKCQ,V5,41,41,0.7121244810609514,0.024467340936405117,-0.40844084281191256,0.4573755246847228,0.9843265027792301
IL17A,V3,41,42,0.8954960480996333,-0.03850907680960014,-0.46885706817509076,0.3918389145558905,0.9874488161592604
IL17A,V5,41,41,0.3508231904715748,0.16864684604879016,-0.26503276907875906,0.6023264611763394,0.8208804064629005
NFATC3,V3,41,42,0.058494752779112015,-0.3727443445997455,-0.8068629381542529,0.061374248954761956,0.8183649169894438
NFATC3,V5,41,41,0.3802661933931215,-0.33012976949915285,-0.7660332768960263,0.10577373789772065,0.8250624074832577
GALNT3,V3,41,42,0.21839139951683872,-0.3012662920592936,-0.7340670601733743,0.13153447605478702,0.8183649169894438
GALNT3,V5,41,41,0.27541680487437475,-0.27647595947435727,-0.7114821907961575,0.15853027184744295,0.7866725032597293
IL5,V3,41,42,0.04618263849120584,-0.40152651613542983,-0.8362533442363527,0.03320031196549306,0.8183649169894438
IL5,V5,41,41,0.5122518370410661,-0.3119743696120437,-0.7475567009873745,0.12360796176328698,0.9308942013233588
TNF,V3,41,42,0.29869346496934723,-0.25138743200389646,-0.683432363169235,0.18065749916144208,0.8183649169894438
TNF,V5,41,41,0.11098803598224154,-0.3799545514003573,-0.816831349448671,0.056922246647956476,0.6622286146940412
TANK,V3,41,42,0.42746994267325694,-0.20732339236063022,-0.6388132626955576,0.2241664779742972,0.8183649169894438
TANK,V5,41,41,0.2713507728603114,-0.23478306519984296,-0.6692006376885808,0.1996345072888949,0.7866725032597293
SPRY2,V3,41,42,0.37155715715541726,-0.2653828113092088,-0.6976261785670093,0.16686055594859167,0.8183649169894438
SPRY2,V5,41,41,0.8176312985484684,0.07666601248423648,-0.3563885394919318,0.5097205644604047,0.9964165017853371
TPT1,V3,41,42,0.5649104793631483,0.08208830571258131,-0.34840446003858366,0.5125810714637463,0.8422526363383754
TPT1,V5,41,41,0.22572191309893383,-0.20764421746431444,-0.6417298541969099,0.22644141926828099,0.7749797329537959
IL17C,V3,41,42,0.9026664325927538,0.14537548381918633,-0.28551358681192973,0.5762645544503023,0.9874488161592604
IL17C,V5,41,41,0.4007042259344762,-0.037224278558861484,-0.47015428598919673,0.3957057288714738,0.8292029646505347
YTHDF3,V3,41,42,0.29029920129367126,-0.2800617376882081,-0.7125246751477423,0.1524011997713261,0.8183649169894438
YTHDF3,V5,41,41,0.9191910411097391,-0.03321295040383816,-0.46613512283672354,0.39970922202904724,0.9964165017853371
WAS,V3,41,42,0.21499339936765766,-0.31496208569689116,-0.7479940028271725,0.11806983143339028,0.8183649169894438
WAS,V5,41,41,0.8464168650825652,-0.018139485390205157,-0.4510401925090018,0.4147612217285915,0.9964165017853371
TNFRSF13C,V3,41,42,0.3072464425439339,-0.24076472341690033,-0.6726661568605738,0.19113671002677315,0.8183649169894438
TNFRSF13C,V5,41,41,0.5242243111806397,-0.22046590282743353,-0.6547033184732884,0.2137715128184214,0.9324192002629563
IL17D,V3,41,42,0.41695841545375234,0.15512585575127827,-0.2758438322493578,0.5860955437519144,0.8183649169894438
IL17D,V5,41,41,0.2878606087347054,-0.25673551713611265,-0.6914511668437079,0.1779801325714826,0.7866725032597293
MILR1,V3,41,42,0.45440654232553734,-0.17600400522503226,-0.6071638513804001,0.2551558409303356,0.8239225930080196
MILR1,V5,41,41,0.30502724750237387,-0.24587828946778026,-0.680443214087923,0.18868663515236242,0.7912356222381592
PRDX3,V3,41,42,0.22530150443482774,-0.13834289100730313,-0.569177054063656,0.29249127204904984,0.8183649169894438
