protein,n_synf,n_ctrlf,p_value,p_fdr
SHMT1,41,42,0.2083108128620338,1
SIGLEC1,41,42,0.4710121083671921,1
SIGLEC10,41,42,0.4014770929028118,1
SIRPB1,41,42,0.5346362924293818,1
SIT1,41,42,0.4654404249529499,1
SKAP2,41,42,0.5527034155695448,1
SLAMF1,41,42,0.9747073320329979,1
SLAMF7,41,42,0.9170302125824953,1
SLC39A5,41,42,0.39639348049278,1
SMOC2,41,42,0.3667069748735292,1
SMPDL3A,41,42,0.8811811545451612,1
SPINK4,41,42,0.9530469556133357,1
SPINT2,41,42,0.8526707763765226,1
SPON1,41,42,0.9819323423259685,1
SPRY2,41,42,0.7477264501483714,1
SRPK2,41,42,0.19539513844872133,1
STX8,41,42,0.4381325207032406,1
SULT2A1,41,42,0.2739858895438866,1
TANK,41,42,0.18008003603501851,1
TBC1D5,41,42,0.33385821380041214,1
TFF2,41,42,0.12757532844672814,1
TGFA,41,42,1,1
TGFB1,41,42,0.29029920129367126,1
TIMP3,41,42,0.7408692513255808,1
TLR3,41,42,0.9674843739256045,1
TNF,41,42,0.4117596975259566,1
TNFAIP8,41,42,0.7272162492611288,1
TNFRSF11A,41,42,0.505194238656606,1
TNFRSF11B,41,42,0.29869346496934723,1
TNFRSF13B,41,42,0.7684148340099727,1
TNFRSF13C,41,42,0.39639348049278,1
TNFRSF14,41,42,0.9819323423259685,1
TNFRSF4,41,42,0.1656658700217253,1
TNFSF10,41,42,0.23958169977160865,1
TNFSF11,41,42,0.5346362924293818,1
TNFSF12,41,42,0.8883340984505821,1
TNFSF13,41,42,0.9891588188175907,1
TPP1,41,42,0.9819323423259685,1
TPSAB1,41,42,0.43278243429198293,1
TPT1,41,42,0.7068975796642928,1
TRAF2,41,42,0.14441553379342803,1
TREM2,41,42,0.9026664325927538,1
TRIM21,41,42,0.2218273900523869,1
TRIM5,41,42,0.35239216406252494,1
VASH1,41,42,0.8526707763765226,1
VEGFA,41,42,0.5110143023152617,1
VEGFD,41,42,0.5710617233118633,1
WAS,41,42,0.6342391092504543,1
WFIKKN2,41,42,0.22881387132033235,1
WNT9A,41,42,0.7204214301842432,1
YTHDF3,41,42,0.5710617233118633,1
