feature,modality,feature_name,module,kME
Olink_ADAM23,Olink,ADAM23,blue,0.6439388312550165
Olink_IL18R1,Olink,IL18R1,blue,0.5091269317644419
Olink_TNFRSF4,Olink,TNFRSF4,blue,0.668340744787797
Olink_C1QA,Olink,C1QA,brown,0.6173415347382376
Olink_CCL13,Olink,CCL13,turquoise,0.5227515722635185
Olink_MERTK,Olink,MERTK,blue,0.6471740852826965
Olink_AGRP,Olink,AGRP,blue,0.6946264292212719
Olink_CTSO,Olink,CTSO,turquoise,0.16257764088127943
Olink_FLT3LG,Olink,FLT3LG,blue,0.7647675123897625
Olink_VEGFD,Olink,VEGFD,blue,0.6244704561454015
Olink_GZMA,Olink,GZMA,brown,0.6986600869402293
Olink_CLSTN2,Olink,CLSTN2,blue,0.5466938359129614
Olink_FASLG,Olink,FASLG,brown,0.7246745997783296
Olink_IL12B,Olink,IL12B,brown,0.4325871549359111
Olink_CDSN,Olink,CDSN,blue,0.6034225961125662
Olink_CCL11,Olink,CCL11,turquoise,0.42757125430293064
Olink_KYNU,Olink,KYNU,turquoise,0.29535245874330607
Olink_LY9,Olink,LY9,yellow,0.8145627932295592
Olink_CCL20,Olink,CCL20,blue,0.3087099866473125
Olink_MMP1,Olink,MMP1,green,0.8227734088562592
Olink_PGF,Olink,PGF,blue,0.8719546117001276
Olink_CCL25,Olink,CCL25,turquoise,0.1623736458621309
Olink_CXCL9,Olink,CXCL9,brown,0.8130266210052213
Olink_SMPDL3A,Olink,SMPDL3A,blue,0.5578447067316579
Olink_EPHA1,Olink,EPHA1,blue,0.6769870644455949
Olink_IFNGR1,Olink,IFNGR1,blue,0.6341609038274643
Olink_CTSC,Olink,CTSC,turquoise,0.37381014857930667
Olink_CD276,Olink,CD276,blue,0.756586532796557
Olink_DBNL,Olink,DBNL,turquoise,0.9584494694589358
Olink_PKLR,Olink,PKLR,turquoise,0.6748038230466806
Olink_NCK2,Olink,NCK2,turquoise,0.9047144898582934
Olink_TIMP3,Olink,TIMP3,green,0.9002790117548147
Olink_PLA2G4A,Olink,PLA2G4A,turquoise,0.9203203315121676
Olink_CCL21,Olink,CCL21,blue,0.2518496986267275
Olink_MMP10,Olink,MMP10,turquoise,-0.01578630677581963
Olink_SCGB1A1,Olink,SCGB1A1,turquoise,0.11332446288907502
Olink_ENPP7,Olink,ENPP7,blue,0.450449233416628
